date,card1,card2,card3,card4,picked_card,unpicked_card1,unpicked_card2
2017-06-24 20:39:00,Clan Tordarroch Shieldsmith,Thunderbolt Potion,Reinforced Trebuchet,Clan Heymaey Skald,Crone: Whispess*,Skjall,Nature’s Gift
2017-06-16 00:09:47,Wild Hunt Rider,Light Longship,Nilfgaardian Knight,Blue Mountain Commando,Queensguard,Alba Pikeman,Mahakam Guard
2017-06-16 00:09:02,Impenetrable Fog,Clan Drummond Shieldmaiden,Clan Brokvar Archer,Impera Enforcers,Vicovaro Novice*,Reaver Scout,Ice Giant
2017-06-14 23:18:24,Biting Frost,Dun Banner Heavy Cavalry*,Elven Wardancer,Chort,Savage Bear,Blue Stripes Commando,Hawker Smuggler
2017-06-14 22:55:35,Mardroeme,Blue Mountain Commando,Wild Hunt Rider,First Light,Queensguard,Dol Blathanna Trapper,Stammelford’s Tremors
2017-06-14 22:53:43,Clan Dimun Pirate,Wild Hunt Rider,Dol Blathanna Archer,Clan Drummond Shieldmaiden,Nekker Warrior,Clan Drummond Shieldmaiden,Nauzicaa Standard Bearer
2017-06-14 22:52:34,Fire Scorpion,Clan Heymaey Skald,Wild Hunt Rider,Griffin,Clan Drummond Shieldmaiden,Vran Warrior,Alba Pikeman
2017-06-14 22:51:16,Vrihedd Officer,Redanian Elite,Drowner,Clan Tuirseach Skirmishers,Vicovaro Novice,Reinforced Ballista,Clan an Craite Raider
2017-06-14 00:22:06,Alba Spearmen,Clan Brokvar Archer,Tridam Infantryman,Wild Hunt Warrior,Lacerate*,Wild Hunt Hound,Queensguard
2017-06-14 00:21:34,Tridam Infantryman,Black Infantry Arbalest,Clan Tuirseach Skirmishers,Merigold’s Hailstorm,Harpy,Vrihedd Sappers,Raging Berserker
2017-06-12 23:03:32,Hawker Healer,Mangonel,Commando Neophyte,Wild Hunt Rider*,Ekimmara,Emissary,Bloodcurdling Roar
2017-06-12 00:18:50,Alba Spearmen,Griffin,Wild Hunt Rider,Wild Hunt Rider,Mahakam Defender,Ancient Foglet,Raging Berserker
2017-06-12 00:18:05,Redanian Knight-Elect,Celaeno Harpy,Thunderbolt Potion,Nilfgaardian Knight,Clan Drummond Shieldmaiden,Redanian Elite,Vrihedd Sappers
2017-06-11 15:34:10,Clan Dimun Pirate,Foglet,Redanian Knight,Clan An Craite Warcrier,Blue Stripes Commando,Lacerate,Alba Pikeman
2017-06-10 14:49:00,Clan Dimun Pirate,Tridam Infantryman,Torrential Rain,Trebuchet,Nekker*,Clan an Craite Raider,Spotter
2017-06-09 20:47:08,Griffin,Trebuchet,Nilfgaardian Knight,Fire Scorpion,Hawker Smuggler,Dun Banner Heavy Cavalry,Overdose
2017-06-09 20:46:09,Foglet,Reinforced Trebuchet,Clan An Craite Warcrier,Archgriffin,Clan Drummond Shieldmaiden,Daerlan Foot Soldiers,Vran Warrior
2017-06-08 20:36:04,War Longship,Dol Blathanna Archer,Redanian Knight-Elect,Rot Tosser,Kaedweni Siege Support,Bloodcurdling Roar,Vicovaro Novice
2017-06-06 23:03:09,Nekker*,Alchemist,Mangonel,Hawker Healer,Harpy,Blue Stripes Commando,Adrenaline Rush
2017-06-06 23:02:22,Rot Tosser,Clan Tuirseach Skirmishers,Dol Blathanna Archer,Ballista,Aretuza Adept,Alba Pikeman,Vrihedd Brigade
2017-06-05 23:04:06,Thunderbolt Potion,Reinforced Trebuchet,Arachas Venom,Impera Enforcers*,Hawker Smuggler,Queensguard,Nekker
2017-06-05 20:13:00,Mangonel,Kaedweni Siege Platform,Reinforced Trebuchet,Clan Dimun Pirate Captain,Imperial Golem,Priestess of Freya,Nekker
2017-06-03 22:10:42,Wild Hunt Rider,Light Longship,Alba Spearmen,Blue Mountain Commando,Ragh Nar Roog,Kayran,Rainfarn
2017-06-03 13:56:13,Light Longship*,Arachas,Hawker Healer,Chort,Impera Brigade,Epidemic,Blue Stripes Commando
2017-06-03 13:55:22,Blue Mountain Commando,Blue Stripes Commando,Trebuchet,Impera Enforcers,Sweers,Morenn,Blueboy Lugos
2017-06-03 13:53:05,Wild Hunt Warrior,Swallow Potion,Epidemic,Tridam Infantryman,Vran Warrior,Bloodcurdling Roar,Vicovaro Medic
2017-06-01 21:32:11,Elven Wardancer,Vrihedd Sappers,Wild Hunt Rider,Commando Neophyte,Drought,Draug,Ithlinne
2017-05-30 23:29:33,Wild Hunt Rider,Clan Dimun Pirate,Reaver Hunter,Wild Hunt Warrior,Reinforced Ballista,Clan Drummond Shieldmaiden*,Nekker
2017-05-29 22:52:18,Impenetrable Fog,Ice Giant,Fire Scorpion,Peter Saar Gwynleve,Combat Engineer,Epidemic,Priestess of Freya
2017-05-29 22:51:31,Clan Heymaey Skald,Alba Spearmen,Impera Enforcers,Vicovaro Novice,Crone: Whispess,Blueboy Lugos,Lubberkin
2017-05-28 23:04:03,Dol Blathanna Archer,Reinforced Trebuchet,Ancient Foglet,Ambassador,Clan Drummond Shieldmaiden*,Reinforced Ballista,Nekker Warrior
2017-05-28 23:03:10,Emissary,Clan An Craite Warrior,Chort,Earth Elemental,Reinforced Ballista,Overdose,Vrihedd Vanguard
2017-05-27 22:56:13,Clan Heymaey Skald,Rot Tosser,Ambassador,Nauzicaa Brigade,Ekimmara,Queensguard,Nauzicaa Standard Bearer
2017-05-27 22:54:45,Reaver Hunter,Drowner,Clan An Craite Warrior,Black Infantry Arbalest,Spotter,Nekker Warrior,Dol Blathanna Protector
2017-05-27 22:53:57,Celaeno Harpy,Trebuchet,Redanian Knight-Elect,Torrential Rain,Nekker Warrior*,Vicovaro Medic,Hawker Support
2017-05-27 20:00:35,Dwarven Mercenary,Chort,Clan Dimun Pirate,Wyvern,Vicovaro Novice,Raging Berserker,Elven Mercenary
2017-05-27 19:59:55,Redanian Knight-Elect,Commando Neophyte,Mangonel,Reaver Hunter,Vicovaro Novice,Clan Tuirseach Axeman,Epidemic
2017-05-27 19:59:13,Earth Elemental,Hawker Healer,Clan An Craite Warcrier,Celaeno Harpy,Nauzicaa Standard Bearer,Clan an Craite Raider,Wild Hunt Hound
2017-05-27 19:58:25,Reaver Hunter,Ghoul,Redanian Knight-Elect,Thunderbolt Potion,Nekker,Vrihedd Sappers,Combat Engineer
2017-05-27 19:57:33,Redanian Knight,Alba Spearmen,Tridam Infantryman,Arachas Venom,Ice Giant,Daerlan Foot Soldiers,Vrihedd Brigade
2017-05-27 19:56:47,Clan Tordarroch Shieldsmith,Wild Hunt Rider,Quen Sign,Ghoul,Clan Brokvar Hunter,Dol Blathanna Protector,Blue Stripes Commando
2017-05-27 19:54:47,Impera Enforcers,Arachas Venom,Swallow Potion,Archgriffin,Blue Stripes Commando,Queensguard,Hawker Smuggler
2017-05-27 19:32:06,Foglet,Alzur’s Thunder,Reaver Hunter,Wild Hunt Rider,Savage Bear,Dun Banner Heavy Cavalry,Immune Boost
2017-05-27 19:31:10,Reaver Hunter,Wild Hunt Warrior,Arachas Venom,Celaeno Harpy,Mahakam Defender*,Alba Pikeman,Clan Brokvar Hunter
2017-05-27 19:29:31,Clan Dimun Pirate,First Light,Rot Tosser,Clan Heymaey Skald,Nauzicaa Standard Bearer,Temerian Infantryman,Vrihedd Vanguard
2017-05-27 19:28:31,Clan Tordarroch Shieldsmith,Bloodcurdling Roar,Mangonel,First Light,Donar an Hindar,Summoning Circle,Giant Toad
2017-05-27 19:26:31,Arachas Venom,Mangonel,Dwarven Skirmisher,Reaver Hunter,Sarah,Manticore,Nenneke
2017-05-27 18:44:28,Dol Blathanna Marksman,Alba Spearmen,Mangonel,Nilfgaardian Knight,Dun Banner Light Cavalry*,Wild Hunt Hound,Vrihedd Vanguard
2017-05-27 18:43:28,Clan Drummond Shieldmaiden,Reaver Hunter,Mangonel,Kaedweni Sergeant*,Fringilla Vigo,Grave Hag,Odrin
2017-05-27 18:41:43,Quen Sign,Arachas Venom,Nauzicaa Brigade,Commando Neophyte,Adrenaline Rush,Mahakam Guard,Wild Hunt Hound
2017-05-27 18:40:40,Chort,Berserker Marauder,Dol Blathanna Marksman,Redanian Knight,Stammelford’s Tremors*,Temerian Infantryman,Clan Drummond Shieldmaiden
2017-05-27 18:39:45,Tridam Infantryman,Blue Mountain Commando,Nilfgaardian Knight,Redanian Knight-Elect,Prince Stennis,Jotunn,Decoy
2017-05-27 17:08:57,Ballista,Wild Hunt Rider*,Celaeno Harpy,Foglet,Reinforced Siege Tower,Queensguard,Vran Warrior
2017-05-27 17:08:02,Light Longship,Quen Sign,The Guardian,Chort,Wild Hunt Navigator,Raging Berserker,Epidemic
2017-05-27 17:06:53,Mangonel,Nilfgaardian Knight,Priestess of Freya,Biting Frost,Vanhemar,Thaler,Gremist
2017-05-27 17:03:27,Fire Scorpion,Wild Hunt Rider,Foglet*,Ghoul,Savage Bear,Dimeritium Shackles,Vicovaro Medic
2017-05-27 17:02:22,Hawker Healer,Epidemic,Light Longship,Reaver Hunter,Immune Boost,Vicovaro Medic,Dun Banner Heavy Cavalry
2017-05-27 16:30:50,Wild Hunt Warrior,Vrihedd Dragoon,Berserker Marauder,Dwarven Skirmisher,Ocvist,Djenge Frett,Dethmold
2017-05-27 16:28:36,Dol Blathanna Archer,Vrihedd Sappers,Trebuchet,Rot Tosser,War Longship,Mahakam Defender,Lacerate
2017-05-27 16:27:42,Wild Hunt Rider,Blue Stripes Scout,Thunderbolt Potion,Vrihedd Dragoon*,Wild Hunt Hound,Emissary,Bloodcurdling Roar
2017-05-27 16:26:27,Lacerate,Vrihedd Officer,Clan Heymaey Skald,Daerlan Foot Soldiers,Vicovaro Medic,Dun Banner Heavy Cavalry,Ice Giant
2017-05-27 16:24:10,Manticore Venom,Arachas,Trebuchet,Drowner,Auckes,Margarita Laux–Antille,Dudu
2017-05-27 15:40:05,Blue Mountain Commando,Alba Spearmen*,Dol Blathanna Marksman,Quen Sign,Leo Bonhart,Avallac’h,Priscilla
2017-05-27 15:34:15,Clan Dimun Pirate Captain,Tridam Infantryman,Ghoul,Commando Neophyte,Draig Bon–Dhu,Dennis Cranmer,Fringilla Vigo
2017-05-27 15:32:19,Field Medic,Blue Stripes Scout,Light Longship,Dethmold,Olgierd,Botchling,Sweers
2017-05-27 15:29:03,Reaver Hunter,Foglet,Rot Tosser,Raging Berserker,Queensguard,Daerlan Foot Soldiers,Dol Blathanna Trapper
2017-05-27 15:28:02,Clan Tuirseach Skirmishers,Reaver Hunter,Clan Heymaey Skald,Kaedweni Siege Platform,Blue Stripes Commando,Vrihedd Sappers,Spotter
2017-05-27 15:26:54,Ghoul,Dol Blathanna Marksman,Clan Tordarroch Armorsmith,Light Longship,Blue Stripes Commando,Wild Hunt Hound,Dol Blathanna Protector
2017-05-27 15:25:53,Impenetrable Fog,Nekker,Vrihedd Brigade,Wild Hunt Rider,Temerian Infantryman,Emissary,Adrenaline Rush
2017-05-27 15:24:59,Rot Tosser*,Kaedweni Siege Platform,Arachas Venom,Impenetrable Fog,Temerian Infantryman,Mahakam Defender,Overdose
2017-05-27 15:23:30,Thunderbolt Potion,Foglet,Reaver Hunter,Botchling,Raging Berserker,Nekker Warrior,Hawker Support
2017-05-27 15:19:23,Reaver Hunter,Wild Hunt Warrior,First Light,Wild Hunt Rider*,Grave Hag,Sabrina Glevissig,Lambert
2017-05-27 15:16:50,Chort,Ancient Foglet,Dwarven Skirmisher*,Vrihedd Dragoon,Spotter,Stammelford’s Tremors,Ekimmara
2017-05-27 15:14:15,Alzur’s Thunder,Kaedweni Sergeant,Biting Frost,Tridam Infantryman,Blue Stripes Commando,Alba Pikeman,Ancient Foglet
2017-05-27 15:11:40,Reaver Hunter,Mangonel,Torrential Rain,Berserker Marauder,Nenneke,Skjall,Aelirenn
2017-05-27 13:55:16,Foglet,Impera Enforcers,Reaver Hunter,Arachas,Ceallach,Sarah,Braenn
2017-05-27 13:53:52,Clan Brokvar Archer,Clan An Craite Warrior,Blue Stripes Scout,Vrihedd Vanguard,Svanrige*,Fringilla Vigo,Decoy
2017-05-27 13:51:34,Earth Elemental,Black Infantry Arbalest,Commando Neophyte,Foglet,Impera Brigade,Wild Hunt Navigator,Mahakam Guard
2017-05-27 13:50:11,Ghoul,Reinforced Trebuchet*,Reaver Hunter,Clan Tordarroch Armorsmith,Dun Banner Heavy Cavalry*,Vicovaro Novice,Wild Hunt Hound
2017-05-27 13:48:43,Alba Spearmen,Pavetta,Fire Scorpion,Wyvern,Margarita Laux–Antille,King of Beggars,Skjall
2017-05-27 13:43:16,Impenetrable Fog,Ambassador,Wild Hunt Rider,Reaver Hunter,Clan Dimun Pirate Captain,Vrihedd Vanguard,Vicovaro Medic
2017-05-27 13:42:07,Clan Brokvar Archer,Celaeno Harpy,Biting Frost,Dwarven Mercenary,Raging Berserker,Overdose,Temerian Infantryman
2017-05-27 12:51:38,Light Longship,Wild Hunt Rider*,Temerian Infantryman,Impera Enforcers,Clan an Craite Raider,Blue Stripes Commando,Vicovaro Medic
2017-05-27 12:50:00,Reaver Hunter,Clan Tordarroch Shieldsmith,Wyvern,Clan An Craite Warcrier,Vrihedd Vanguard*,War Longship,Mardroeme
2017-05-27 12:48:54,Fire Scorpion,Clan Heymaey Skald,Hawker Healer,Foglet,Clan an Craite Raider,Harpy,Temerian Infantryman
2017-05-27 12:47:25,First Light*,Redanian Elite,Clan An Craite Warrior,Wild Hunt Rider,Daerlan Foot Soldiers,Wild Hunt Hound,Dun Banner Light Cavalry
2017-05-27 12:46:07,Bloodcurdling Roar,Vrihedd Officer,Quen Sign,Impenetrable Fog,Emissary,Wild Hunt Navigator,Vrihedd Vanguard
2017-05-27 12:45:00,Dol Blathanna Archer,Dwarven Skirmisher,Thunderbolt Potion,Biting Frost,Harpy*,Nauzicaa Standard Bearer,Dol Blathanna Protector
2017-05-27 12:21:48,Clan Dimun Pirate,Reaver Hunter,Wild Hunt Rider,Kaedweni Sergeant,Fake Ciri,Sheldon Skaggs,Nithral
2017-05-27 12:19:36,Wild Hunt Rider,Clan Tordarroch Armorsmith,Nauzicaa Brigade,Fire Scorpion,Reinforced Siege Tower,Queensguard,Elven Mercenary
2017-05-27 12:18:04,Archgriffin,Dimeritium Shackles,Alchemist,Fire Scorpion,Nekker Warrior,Queensguard,Stammelford’s Tremors
2017-05-27 12:16:31,Quen Sign,Wild Hunt Rider,Nauzicaa Brigade,Archgriffin,Queensguard,Vrihedd Vanguard,Stammelford’s Tremors
2017-05-27 12:14:51,Nilfgaardian Knight,Light Longship,Tridam Infantryman,Clan Dimun Pirate,Queensguard,Ancient Foglet,Dun Banner Light Cavalry
2017-05-27 12:13:17,Impenetrable Fog,Commando Neophyte,Ambassador,Chort,Vran Warrior,Blue Stripes Commando,Clan Drummond Shieldmaiden
2017-05-27 12:11:43,Celaeno Harpy,Clan Dimun Pirate,Wild Hunt Warrior,Impenetrable Fog,Spotter,War Longship,Aretuza Adept
2017-05-26 23:28:13,Reinforced Trebuchet,Griffin,Impenetrable Fog*,Rot Tosser,Elven Mercenary,Clan Brokvar Hunter,Blue Stripes Commando
2017-05-26 23:24:46,Arachas Venom,Dwarven Skirmisher,Tridam Infantryman,Wyvern,Overdose*,Ekimmara,Daerlan Foot Soldiers
2017-05-26 23:22:23,Kaedweni Siege Platform,Archgriffin,Griffin,Trebuchet,Daerlan Foot Soldiers,Mardroeme,Dun Banner Heavy Cavalry
2017-05-26 23:20:53,Mangonel,Field Medic,Kaedweni Siege Platform,Archgriffin,Jotunn,Nenneke,Malena
2017-05-26 23:17:22,First Light,Clan Tuirseach Skirmishers,Blue Stripes Scout,Clan Brokvar Archer,Alba Pikeman,Harpy,Clan Drummond Shieldmaiden
2017-05-26 23:14:46,Mangonel,Mahakam Guard,Redanian Knight,Wild Hunt Rider,Vrihedd Sappers,Aretuza Adept,Nauzicaa Standard Bearer
2017-05-26 22:34:11,Rot Tosser,Ballista,Celaeno Harpy,Dol Blathanna Archer,Priestess of Freya,Vicovaro Medic,Dol Blathanna Protector
2018-02-20 22:10:46,Archgriffin,Arachas Drone,Vicovaro Novice,Reaver Hunter*,Zoria Runestone,Roach,Derran
